Team Season,Number of Injuries
2019-20 Detroit Pistons,94
2019-20 Golden State Warriors,100
2019-20 Houston Rockets,75
2019-20 Indiana Pacers,70
2019-20 LA Clippers,79
2019-20 Los Angeles Lakers,53
2019-20 Memphis Grizzlies,58
2019-20 Miami Heat,86
2019-20 Milwaukee Bucks,109
2019-20 Minnesota Timberwolves,61
2019-20 New Orleans Pelicans,60
2019-20 New York Knicks,76
2019-20 Oklahoma City Thunder,63
2019-20 Orlando Magic,60
2019-20 Philadelphia 76ers,69
2019-20 Phoenix Suns,82
2019-20 Portland Trailblazers,61
2019-20 Sacramento Kings,48
2019-20 San Antonio Spurs,29
2019-20 Toronto Raptors,73
2019-20 Utah Jazz,73
2019-20 Washington Wizards,72
2020-21 Boston Celtics,13
2020-21 Brooklyn Nets,22
2020-21 Charlotte Hornets,1
2020-21 Denver Nuggets,11
2020-21 Houston Rockets,18
2020-21 Indiana Pacers,18
2020-21 LA Clippers,8
2020-21 Los Angeles Lakers,33
2020-21 Memphis Grizzlies,7
2020-21 Miami Heat,35
2020-21 Milwaukee Bucks,25
2020-21 New Orleans Pelicans,7
2020-21 Oklahoma City Thunder,24
2020-21 Orlando Magic,30
2020-21 Philadelphia 76ers,18
2020-21 Phoenix Suns,9
2020-21 Portland Trailblazers,11
2020-21 Sacramento Kings,5
2020-21 San Antonio Spurs,8
2020-21 Toronto Raptors,17
2020-21 Utah Jazz,25
2020-21 Washington Wizards,7
