TEAM SEASON,WIN%,PTS,FG%,FT%,PERSONAL FOULS +/-
2015-16 San Antonio Spurs,0.8170000000000001,103.5,48.4,80.3,10.6
2015-16 Toronto Raptors,0.6829999999999999,102.7,45.1,77.7,4.5
2015-16 Utah Jazz,0.488,97.7,44.9,74.4,1.8
2015-16 Washington Wizards,0.5,104.1,46.0,73.0,-0.5
2014-15 Atlanta Hawks,0.732,102.5,46.6,77.8,5.4
2014-15 Boston Celtics,0.488,101.4,44.3,75.4,0.2
2014-15 Brooklyn Nets,0.463,98.0,45.1,74.8,-2.9
2014-15 Charlotte Hornets,0.402,94.2,42.0,74.8,-3.2
2014-15 Chicago Bulls,0.61,100.8,44.2,78.3,3.0
2014-15 Cleveland Cavaliers,0.6459999999999999,103.1,45.8,75.1,4.5
2014-15 Dallas Mavericks,0.61,105.2,46.3,75.2,2.9
2014-15 Denver Nuggets,0.366,101.5,43.3,73.4,-3.5
2014-15 Detroit Pistons,0.39,98.5,43.2,70.3,-1.0
2014-15 Golden State Warriors,0.8170000000000001,110.0,47.8,76.8,10.1
2014-15 Houston Rockets,0.6829999999999999,103.9,44.4,71.5,3.4
2014-15 Indiana Pacers,0.463,97.3,43.9,75.6,0.3
2014-15 Los Angeles Clippers,0.6829999999999999,106.7,47.3,71.0,6.6
2014-15 Los Angeles Lakers,0.256,98.5,43.5,74.1,-6.8
2014-15 Memphis Grizzlies,0.6709999999999999,98.3,45.8,77.3,3.2
2014-15 Miami Heat,0.451,94.7,45.6,74.1,-2.6
2014-15 Milwaukee Bucks,0.5,97.8,45.9,75.7,0.4
2014-15 Minnesota Timberwolves,0.195,97.8,43.8,77.6,-8.8
2014-15 New Orleans Pelicans,0.5489999999999999,99.4,45.7,75.1,0.8
2014-15 New York Knicks,0.207,91.9,42.8,76.9,-9.3
2014-15 Oklahoma City Thunder,0.5489999999999999,104.0,44.7,75.4,2.2
2014-15 Orlando Magic,0.305,95.7,45.3,72.9,-5.7
2014-15 Philadelphia 76ers,0.22,92.0,40.8,67.6,-9.0
2014-15 Phoenix Suns,0.476,102.4,45.2,76.0,-0.9
2014-15 Portland Trail Blazers,0.622,102.8,45.0,80.1,4.2
2014-15 Sacramento Kings,0.354,101.3,45.5,76.2,-3.7
2014-15 San Antonio Spurs,0.6709999999999999,103.2,46.8,78.0,6.2
2014-15 Toronto Raptors,0.598,104.0,45.5,78.7,3.1
2014-15 Utah Jazz,0.463,95.1,44.7,72.1,0.2
2014-15 Washington Wizards,0.561,98.5,46.2,74.2,0.7
2013-14 Atlanta Hawks,0.463,101.0,45.8,78.1,-0.5
2013-14 Boston Celtics,0.305,96.2,43.5,77.7,-4.5
2013-14 Brooklyn Nets,0.537,98.5,45.9,75.3,-1.0
2013-14 Charlotte Bobcats,0.524,96.9,44.2,73.7,-0.2
2013-14 Chicago Bulls,0.585,93.7,43.2,77.9,1.9
2013-14 Cleveland Cavaliers,0.402,98.2,43.7,75.1,-3.3
2013-14 Dallas Mavericks,0.598,104.8,47.4,79.5,2.4
2013-14 Denver Nuggets,0.439,104.4,44.7,72.6,-2.1
2013-14 Detroit Pistons,0.354,101.0,44.7,67.0,-3.7
2013-14 Golden State Warriors,0.622,104.3,46.2,75.3,4.8
2013-14 Houston Rockets,0.659,107.7,47.2,71.2,4.6
2013-14 Indiana Pacers,0.6829999999999999,96.7,44.9,77.9,4.4
2013-14 Los Angeles Clippers,0.695,107.9,47.4,73.0,7.0
